Episode, Reward, Steps, Loss, Entropy
1.0000,28.0000,28.0000,1.0128,0.6805
2.0000,24.0000,24.0000,1.0537,0.6674
3.0000,36.0000,36.0000,1.0927,0.6826
4.0000,31.0000,31.0000,1.0762,0.6831
5.0000,64.0000,64.0000,0.9260,0.6708
6.0000,12.0000,12.0000,0.9928,0.6773
7.0000,35.0000,35.0000,1.0694,0.6858
8.0000,23.0000,23.0000,1.0645,0.6865
9.0000,11.0000,11.0000,1.0119,0.6687
10.0000,14.0000,14.0000,0.9875,0.6684
11.0000,11.0000,11.0000,1.0117,0.6868
12.0000,20.0000,20.0000,1.0137,0.6918
13.0000,11.0000,11.0000,1.1341,0.6864
14.0000,13.0000,13.0000,1.0927,0.6909
15.0000,16.0000,16.0000,0.9136,0.6709
16.0000,12.0000,12.0000,1.0780,0.6627
17.0000,11.0000,11.0000,1.0572,0.6671
18.0000,18.0000,18.0000,0.9592,0.6673
19.0000,28.0000,28.0000,1.0545,0.6858
20.0000,15.0000,15.0000,0.9501,0.6717
21.0000,11.0000,11.0000,1.0056,0.6732
22.0000,12.0000,12.0000,1.0674,0.6810
23.0000,15.0000,15.0000,1.1773,0.6791
24.0000,10.0000,10.0000,0.9892,0.6754
25.0000,26.0000,26.0000,1.0687,0.6737
26.0000,10.0000,10.0000,1.2980,0.6667
27.0000,17.0000,17.0000,1.0955,0.6675
28.0000,11.0000,11.0000,1.0045,0.6785
29.0000,12.0000,12.0000,1.1308,0.6603
30.0000,17.0000,17.0000,0.9244,0.6768
31.0000,16.0000,16.0000,1.2481,0.6581
32.0000,12.0000,12.0000,0.8558,0.6531
33.0000,28.0000,28.0000,1.0060,0.6598
34.0000,26.0000,26.0000,0.8986,0.6552
35.0000,40.0000,40.0000,1.0829,0.6563
36.0000,36.0000,36.0000,1.0291,0.6508
37.0000,10.0000,10.0000,1.2689,0.6188
38.0000,10.0000,10.0000,1.6049,0.6108
39.0000,14.0000,14.0000,1.0637,0.6271
40.0000,13.0000,13.0000,1.3802,0.6059
41.0000,21.0000,21.0000,1.0692,0.6218
42.0000,16.0000,16.0000,1.4672,0.6113
43.0000,10.0000,10.0000,1.3937,0.5828
44.0000,15.0000,15.0000,1.3891,0.5850
45.0000,13.0000,13.0000,1.5105,0.5792
46.0000,14.0000,14.0000,1.3284,0.5892
47.0000,12.0000,12.0000,1.7764,0.5422
48.0000,9.0000,9.0000,1.9012,0.5471
49.0000,12.0000,12.0000,1.9551,0.5587
50.0000,12.0000,12.0000,1.9430,0.5366
51.0000,24.0000,24.0000,1.9537,0.5638
52.0000,15.0000,15.0000,1.6999,0.5545
53.0000,12.0000,12.0000,2.6614,0.5010
54.0000,14.0000,14.0000,1.5549,0.5373
55.0000,20.0000,20.0000,1.4247,0.5639
56.0000,11.0000,11.0000,2.1232,0.5060
57.0000,11.0000,11.0000,2.7259,0.4664
58.0000,12.0000,12.0000,2.2325,0.4786
59.0000,11.0000,11.0000,2.9446,0.4749
60.0000,16.0000,16.0000,2.6081,0.5005
61.0000,20.0000,20.0000,2.2715,0.4968
62.0000,15.0000,15.0000,1.4500,0.4789
63.0000,9.0000,9.0000,3.6864,0.4130
64.0000,16.0000,16.0000,2.2745,0.4673
65.0000,11.0000,11.0000,4.3199,0.3688
66.0000,11.0000,11.0000,3.3982,0.4259
67.0000,29.0000,29.0000,1.2856,0.4929
68.0000,13.0000,13.0000,3.1400,0.4558
69.0000,10.0000,10.0000,3.4168,0.3723
70.0000,14.0000,14.0000,2.6155,0.3922
71.0000,9.0000,9.0000,3.1654,0.3804
72.0000,10.0000,10.0000,3.7018,0.3833
73.0000,13.0000,13.0000,3.4968,0.4200
74.0000,10.0000,10.0000,3.7837,0.3455
75.0000,9.0000,9.0000,4.7724,0.3463
76.0000,10.0000,10.0000,3.9571,0.3553
77.0000,9.0000,9.0000,3.7292,0.3639
78.0000,18.0000,18.0000,4.1551,0.4048
79.0000,10.0000,10.0000,4.0411,0.3227
80.0000,11.0000,11.0000,4.4700,0.3440
81.0000,10.0000,10.0000,5.8295,0.2987
82.0000,18.0000,18.0000,3.5995,0.4143
83.0000,10.0000,10.0000,5.8621,0.3000
84.0000,9.0000,9.0000,5.7784,0.3034
85.0000,10.0000,10.0000,6.1451,0.2864
86.0000,20.0000,20.0000,4.3347,0.4074
87.0000,10.0000,10.0000,4.7101,0.3383
88.0000,9.0000,9.0000,5.9563,0.2951
89.0000,11.0000,11.0000,5.1143,0.3402
90.0000,10.0000,10.0000,6.2246,0.2832
91.0000,11.0000,11.0000,5.1587,0.3201
92.0000,17.0000,17.0000,3.7998,0.3964
93.0000,13.0000,13.0000,4.5585,0.3303
94.0000,10.0000,10.0000,6.6148,0.2641
95.0000,10.0000,10.0000,5.2195,0.3174
96.0000,13.0000,13.0000,4.5508,0.2950
97.0000,9.0000,9.0000,6.1857,0.2814
