Episode, Reward, Steps, Loss, Entropy
1.0000,15.0000,15.0000,0.0000,0.6900
2.0000,15.0000,15.0000,0.0000,0.6900
3.0000,46.0000,46.0000,0.0000,0.6900
4.0000,25.0000,25.0000,0.0000,0.6900
5.0000,61.0000,61.0000,0.5068,0.6861
6.0000,73.0000,73.0000,0.5068,0.6861
7.0000,13.0000,13.0000,0.5068,0.6861
8.0000,22.0000,22.0000,0.5068,0.6861
9.0000,26.0000,26.0000,0.5068,0.6861
10.0000,24.0000,24.0000,0.4308,0.6868
11.0000,50.0000,50.0000,0.4308,0.6868
12.0000,22.0000,22.0000,0.4308,0.6868
13.0000,21.0000,21.0000,0.4308,0.6868
14.0000,33.0000,33.0000,0.4308,0.6868
15.0000,73.0000,73.0000,0.7069,0.6824
16.0000,20.0000,20.0000,0.7069,0.6824
17.0000,20.0000,20.0000,0.7069,0.6824
18.0000,34.0000,34.0000,0.7069,0.6824
19.0000,14.0000,14.0000,0.7069,0.6824
20.0000,55.0000,55.0000,0.3876,0.6838
21.0000,16.0000,16.0000,0.3876,0.6838
22.0000,18.0000,18.0000,0.3876,0.6838
23.0000,27.0000,27.0000,0.3876,0.6838
24.0000,66.0000,66.0000,0.3876,0.6838
25.0000,54.0000,54.0000,0.3917,0.6692
26.0000,18.0000,18.0000,0.3917,0.6692
27.0000,54.0000,54.0000,0.3917,0.6692
28.0000,50.0000,50.0000,0.3917,0.6692
29.0000,19.0000,19.0000,0.3917,0.6692
30.0000,15.0000,15.0000,0.8214,0.6365
31.0000,99.0000,99.0000,0.8214,0.6365
32.0000,27.0000,27.0000,0.8214,0.6365
33.0000,35.0000,35.0000,0.8214,0.6365
34.0000,47.0000,47.0000,0.8214,0.6365
35.0000,71.0000,71.0000,0.5226,0.6587
36.0000,31.0000,31.0000,0.5226,0.6587
37.0000,25.0000,25.0000,0.5226,0.6587
38.0000,86.0000,86.0000,0.5226,0.6587
39.0000,22.0000,22.0000,0.5226,0.6587
40.0000,29.0000,29.0000,0.4836,0.6504
41.0000,22.0000,22.0000,0.4836,0.6504
42.0000,37.0000,37.0000,0.4836,0.6504
43.0000,42.0000,42.0000,0.4836,0.6504
44.0000,59.0000,59.0000,0.4836,0.6504
45.0000,32.0000,32.0000,0.4704,0.6447
46.0000,57.0000,57.0000,0.4704,0.6447
47.0000,56.0000,56.0000,0.4704,0.6447
48.0000,118.0000,118.0000,0.4704,0.6447
49.0000,44.0000,44.0000,0.4704,0.6447
50.0000,67.0000,67.0000,0.5643,0.6390
51.0000,105.0000,105.0000,0.5643,0.6390
52.0000,135.0000,135.0000,0.5643,0.6390
53.0000,62.0000,62.0000,0.5643,0.6390
54.0000,49.0000,49.0000,0.5643,0.6390
55.0000,75.0000,75.0000,0.3921,0.6141
56.0000,186.0000,186.0000,0.3921,0.6141
57.0000,112.0000,112.0000,0.3921,0.6141
58.0000,89.0000,89.0000,0.3921,0.6141
59.0000,125.0000,125.0000,0.3921,0.6141
60.0000,127.0000,127.0000,0.5732,0.5966
61.0000,151.0000,151.0000,0.5732,0.5966
62.0000,140.0000,140.0000,0.5732,0.5966
63.0000,99.0000,99.0000,0.5732,0.5966
64.0000,105.0000,105.0000,0.5732,0.5966
65.0000,175.0000,175.0000,0.4334,0.6035
66.0000,115.0000,115.0000,0.4334,0.6035
67.0000,68.0000,68.0000,0.4334,0.6035
