Episode, Reward, Steps, Loss, Entropy
1.0000,12.0000,12.0000,0.0211,0.6913
2.0000,13.0000,13.0000,0.4957,0.6828
3.0000,19.0000,19.0000,0.0251,0.6889
4.0000,56.0000,56.0000,-0.6884,0.6916
5.0000,24.0000,24.0000,0.1716,0.6910
6.0000,13.0000,13.0000,0.7677,0.6851
7.0000,11.0000,11.0000,0.0634,0.6869
8.0000,34.0000,34.0000,-0.6863,0.6906
9.0000,16.0000,16.0000,0.1467,0.6897
10.0000,26.0000,26.0000,0.2955,0.6759
11.0000,24.0000,24.0000,-1.0499,0.6749
12.0000,12.0000,12.0000,-0.3128,0.6901
13.0000,21.0000,21.0000,0.0835,0.6917
14.0000,14.0000,14.0000,-0.5994,0.6915
15.0000,23.0000,23.0000,0.1256,0.6711
16.0000,25.0000,25.0000,-1.1829,0.6879
17.0000,13.0000,13.0000,-0.1368,0.6896
18.0000,13.0000,13.0000,-0.2123,0.6860
19.0000,57.0000,57.0000,-0.8929,0.6784
20.0000,20.0000,20.0000,-0.1455,0.6468
21.0000,36.0000,36.0000,-0.4522,0.6884
22.0000,66.0000,66.0000,-0.5396,0.6793
23.0000,17.0000,17.0000,0.2939,0.6794
24.0000,38.0000,38.0000,-0.0381,0.6873
25.0000,32.0000,32.0000,0.4572,0.6728
26.0000,16.0000,16.0000,0.1465,0.6682
27.0000,25.0000,25.0000,-0.6628,0.6680
28.0000,19.0000,19.0000,0.2885,0.6535
29.0000,29.0000,29.0000,0.2660,0.6811
30.0000,67.0000,67.0000,-1.6321,0.6705
31.0000,46.0000,46.0000,-0.1552,0.6527
32.0000,42.0000,42.0000,-1.1573,0.6668
33.0000,18.0000,18.0000,-0.1226,0.6553
34.0000,53.0000,53.0000,-5.3670,0.6579
35.0000,60.0000,60.0000,-0.8443,0.6589
36.0000,30.0000,30.0000,0.7433,0.6314
37.0000,33.0000,33.0000,0.1423,0.6602
38.0000,37.0000,37.0000,0.5970,0.6715
39.0000,67.0000,67.0000,1.0332,0.6637
40.0000,44.0000,44.0000,-1.9382,0.6496
41.0000,56.0000,56.0000,-1.6524,0.6282
42.0000,109.0000,109.0000,-0.2599,0.6570
43.0000,63.0000,63.0000,0.6243,0.6467
44.0000,39.0000,39.0000,-0.1556,0.6487
45.0000,36.0000,36.0000,0.2692,0.6590
46.0000,30.0000,30.0000,-0.4825,0.6353
47.0000,34.0000,34.0000,1.1434,0.6369
48.0000,54.0000,54.0000,0.3442,0.6543
49.0000,28.0000,28.0000,-5.4612,0.6190
50.0000,116.0000,116.0000,-2.2973,0.6383
51.0000,47.0000,47.0000,1.4711,0.6295
52.0000,26.0000,26.0000,-1.1986,0.6004
53.0000,32.0000,32.0000,-0.3733,0.6384
54.0000,48.0000,48.0000,0.5197,0.6467
55.0000,90.0000,90.0000,-5.6088,0.6322
56.0000,11.0000,11.0000,-0.3309,0.4763
57.0000,43.0000,43.0000,0.7312,0.6321
58.0000,41.0000,41.0000,-1.7057,0.6325
59.0000,131.0000,131.0000,4.6260,0.6302
60.0000,75.0000,75.0000,-0.0595,0.6165
61.0000,88.0000,88.0000,1.2865,0.6372
62.0000,105.0000,105.0000,0.6393,0.6203
63.0000,44.0000,44.0000,1.6301,0.6075
64.0000,59.0000,59.0000,1.5971,0.6245
65.0000,112.0000,112.0000,-1.0845,0.6408
66.0000,24.0000,24.0000,0.9504,0.5457
67.0000,62.0000,62.0000,-0.0864,0.6330
68.0000,153.0000,153.0000,0.5910,0.6193
69.0000,93.0000,93.0000,-0.7790,0.6169
70.0000,25.0000,25.0000,-3.0472,0.5875
71.0000,28.0000,28.0000,0.7556,0.5787
72.0000,116.0000,116.0000,-7.5710,0.6283
73.0000,82.0000,82.0000,-1.4018,0.6366
74.0000,44.0000,44.0000,1.2373,0.6396
75.0000,68.0000,68.0000,0.0586,0.6099
76.0000,44.0000,44.0000,-3.7352,0.6209
77.0000,51.0000,51.0000,0.0437,0.6072
78.0000,93.0000,93.0000,0.0300,0.6245
79.0000,163.0000,163.0000,-1.2169,0.6294
80.0000,70.0000,70.0000,-0.3131,0.6004
81.0000,87.0000,87.0000,0.3271,0.6114
82.0000,134.0000,134.0000,-1.6544,0.6209
83.0000,159.0000,159.0000,0.2783,0.6211
84.0000,34.0000,34.0000,-6.9585,0.5789
85.0000,42.0000,42.0000,-1.0797,0.5779
86.0000,33.0000,33.0000,2.5132,0.5626
87.0000,109.0000,109.0000,-1.6242,0.6292
88.0000,138.0000,138.0000,-0.0486,0.6112
89.0000,147.0000,147.0000,1.6843,0.6070
90.0000,187.0000,187.0000,-6.7872,0.6149
91.0000,66.0000,66.0000,0.0691,0.5923
92.0000,173.0000,173.0000,-2.9857,0.6167
93.0000,46.0000,46.0000,-6.6994,0.5682
94.0000,82.0000,82.0000,0.5580,0.5946
95.0000,127.0000,127.0000,3.5663,0.6066
96.0000,83.0000,83.0000,1.2277,0.5820
97.0000,131.0000,131.0000,-1.1173,0.5750
98.0000,93.0000,93.0000,-0.2683,0.5970
99.0000,104.0000,104.0000,-2.9130,0.5720
100.0000,176.0000,176.0000,-5.9926,0.6087
101.0000,141.0000,141.0000,0.2473,0.6236
102.0000,135.0000,135.0000,-1.6730,0.5956
103.0000,138.0000,138.0000,-5.3522,0.6212
104.0000,49.0000,49.0000,-1.1536,0.5692
105.0000,152.0000,152.0000,0.9518,0.6021
106.0000,198.0000,198.0000,-6.4910,0.6071
107.0000,48.0000,48.0000,-5.6014,0.5484
108.0000,115.0000,115.0000,-2.3384,0.5956
109.0000,181.0000,181.0000,-3.3594,0.6138
110.0000,89.0000,89.0000,2.1150,0.5781
111.0000,68.0000,68.0000,2.2644,0.5864
112.0000,176.0000,176.0000,-1.9727,0.5850
113.0000,175.0000,175.0000,2.2882,0.5687
114.0000,209.0000,209.0000,-6.8413,0.5995
